PRODUCT_CODE,PRODUCT_NAME,M_DISTCTNS,PRDCTN_ERA
111,쌀,FALL,1536
112,찹쌀,FALL,1536
141,콩,ALL,0
142,팥,FALL,1536
143,녹두,FALL,1536
144,메밀,FALL,3072
151,고구마,FALL,1536
152,감자,SUMMER,1984
161,귀리,FALL,1536
113,혼합곡,ALL,0
162,보리,SUMMER,0
163,수수,FALL,1536
164,율무,FALL,1536
114,기장,FALL,1792
211,배추,FALL,6144
212,양배추,SPRING,224
279,알배기배추,ALL,0
280,브로콜리,WINTER,7680
213,시금치,WINTER,0
214,상추,SPRING,480
215,얼갈이배추,FALL,6144
216,갓,FALL,7680
221,수박,SUMMER,448
222,참외,SUMMER,448
223,오이,SPRING,480
224,호박,ALL,0
225,토마토,SUMMER,896
226,딸기,WINTER,62
231,무,FALL,3072
232,당근,WINTER,7168
233,열무,SUMMER,96
241,건고추,ALL,0
242,풋고추,ALL,0
243,붉은고추,ALL,0
244,피마늘,ALL,0
258,깐마늘(국산),ALL,0
259,깐마늘(수입),ALL,0
245,양파,SUMMER,240
246,파,ALL,0
247,생강,FALL,3840
248,고춧가루,ALL,0
251,가지,SUMMER,1984
252,미나리,SPRING,24
253,깻잎,SUMMER,8190
254,부추,SUMMER,1984
255,피망,SPRING,8176
256,파프리카,FALL,4064
257,멜론,SUMMER,1920
261,브로콜리,WINTER,7680
262,양상추,ALL,0
263,청경채,FALL,0
264,케일,ALL,0
265,콩나물,ALL,0
422,방울토마토,SUMMER,960
217,연근,WINTER,0
218,우엉,WINTER,14
266,절임배추,ALL,0
312,참깨,FALL,0
313,들깨,FALL,0
314,땅콩,FALL,3072
315,느타리버섯,FALL,8190
316,팽이버섯,WINTER,8190
317,새송이버섯,FALL,8190
318,호두,FALL,1536
319,아몬드,ALL,0
321,양송이버섯,FALL,8190
322,표고버섯,FALL,1536
411,사과,FALL,3968
412,배,FALL,1792
413,복숭아,SUMMER,448
414,포도,SUMMER,1792
415,감귤,WINTER,0
416,단감,ALL,0
418,바나나,ALL,0
419,참다래,ALL,0
420,파인애플,SPRING,1016
421,오렌지,ALL,0
423,자몽,ALL,0
424,레몬,WINTER,0
425,체리,SUMMER,96
426,건포도,ALL,0
427,건블루베리,ALL,0
428,망고,ALL,0
430,아보카도,ALL,0
429,블루베리,SUMMER,896
