PRODUCT_CODE,PRODUCT_NAME,M_DISTCTNS,PRDCTN_ERA,UNIT
111,쌀,FALL,1536,kg
112,찹쌀,FALL,1536,kg
141,콩,ALL,0,kg
142,팥,FALL,1536,kg
143,녹두,FALL,1536,kg
144,메밀,FALL,3072,kg
151,고구마,FALL,1536,kg
152,감자,SUMMER,1984,kg
211,배추,FALL,6144,kg
212,양배추,SPRING,224,kg
279,알배기배추,ALL,0,kg
280,브로콜리,WINTER,7680,kg
213,시금치,WINTER,0,kg
214,상추,SPRING,480,kg
215,얼갈이배추,FALL,6144,kg
221,수박,SUMMER,448,개
222,참외,SUMMER,448,kg
223,오이,SPRING,480,개
224,호박,ALL,0,kg
225,토마토,SUMMER,896,kg
226,딸기,WINTER,62,kg
231,무,FALL,3072,kg
232,당근,WINTER,7168,kg
233,열무,SUMMER,96,kg
241,건고추,ALL,0,kg
242,풋고추,ALL,0,kg
243,붉은고추,ALL,0,kg
244,피마늘,ALL,0,kg
258,깐마늘(국산),ALL,0,kg
245,양파,SUMMER,240,kg
246,파,ALL,0,kg
247,생강,FALL,3840,kg
252,미나리,SPRING,24,kg
253,깻잎,SUMMER,8190,kg
255,피망,SPRING,8176,kg
256,파프리카,FALL,4064,kg
257,멜론,SUMMER,1920,kg
422,방울토마토,SUMMER,960,kg
312,참깨,FALL,0,kg
313,들깨,FALL,0,kg
314,땅콩,FALL,3072,kg
315,느타리버섯,FALL,8190,kg
316,팽이버섯,WINTER,8190,kg
317,새송이버섯,FALL,8190,kg
411,사과,FALL,3968,kg
412,배,FALL,1792,kg
413,복숭아,SUMMER,448,kg
414,포도,SUMMER,1792,kg
415,감귤,WINTER,0,kg
416,단감,ALL,0,kg
418,바나나,ALL,0,kg
419,참다래,ALL,0,kg
420,파인애플,SPRING,1016,kg
421,오렌지,ALL,0,kg
424,레몬,WINTER,0,kg
425,체리,SUMMER,96,kg
428,망고,ALL,0,kg
